year,country,pop,labor_force,gdp,unemployment_r,pop_over_65,gdp_over_pop,continent,hours_worked_over_pop_combined,pop_0_to_14,pop_15_to_64,gdp_ppp_c,gdp_ppp,gdp_c
2008,"Korea, Dem. People's Rep.",24469047,14041864,NA,2.906,9.0356032255772,NA,3,1126.2007439120014,NA,NA,NA,NA,NA
2009,China,1331260000,775599063,5101691124285.21,4.72,8.45028202899818,3832.2274569094016,3,1221.9121215225734,NA,NA,12414865856391.4,11057234022822,6827904909100.22
2009,"Hong Kong SAR, China",6972800,3698404,214047795659.045,5.26,13.049293159088,30697.5383861641,3,1138.4608187156336,NA,NA,370760029299.946,319782965975.849,250592564806.644
2009,Japan,128047000,66456031,5289493117993.89,5.068,23.1658899836292,41308.99683705115,3,878.7183143689426,NA,NA,5057237438354.33,4295629000666.77,4052826324007.5
2009,"Korea, Rep.",49307835,25091241,943941876218.743,3.363,10.66672938446,19143.851605302545,3,1041.2490823978926,NA,NA,1750502428993.45,1454994406417.93,1181061361993.54
2009,"Macao SAR, China",543021,327792,21587786905.8499,3.58,6.96501608593406,39754.97615350033,3,1473.760785663456,NA,NA,56049055424.94,42331197291.911,31827411272.1253
2009,Mongolia,2666713,1121694,4583850367.88972,5.86,3.81315946132176,1718.9140218275156,3,863.8567728723975,NA,NA,24478320115.4333,19159108635.9686,6724368909.15607
2009,"Korea, Dem. People's Rep.",24581509,14200502,NA,2.895,9.28492632409182,NA,3,1132.1666187698052,NA,NA,NA,NA,NA
2010,China,1337705000,774058132,6087191746679.49,4.53,8.6165491604008,4550.473943567147,3,1239.7360266129738,NA,NA,13735294981706.8,12381936443545.5,7554112071638.2
2010,"Hong Kong SAR, China",7024200,3672023,228638668727.291,4.329,13.2853459984753,32550.136489178974,3,1154.578506842233,NA,NA,395851817028.978,345574088170.348,267551824019.333
2010,Japan,128070000,66231664,5759071769013.11,5.103,23.6005353278114,44968.156234973925,3,887.1357851175138,NA,NA,5264478877562.27,4525401285474.55,4218907820177.17
2010,"Korea, Rep.",49554112,25419751,1143672241149.72,3.324,11.0460909197177,23079.260125773617,3,1044.365760420408,NA,NA,1869621054468.93,1572680440074.07,1261430519849.42
2010,"Macao SAR, China",557297,338660,28241798491.593,2.84,7.07881075979236,50676.38708192041,3,1494.2764900919535,NA,NA,70130032374.0208,53609579795.7073,39823282764.9443
2010,Mongolia,2702520,1153589,7189481998.90094,6.549,3.80739087962346,2660.288175073983,3,868.1163010991191,NA,NA,26036404766.9935,20626275493.6859,7152385862.09146
2010,"Korea, Dem. People's Rep.",24686435,14356047,NA,2.825,9.53887611680512,NA,3,1132.1666187698052,NA,NA,NA,NA,NA
2011,China,1345035000,778323480,7551545703440.75,4.55,8.81614803226073,5614.386022252766,3,1242.0947791019246,NA,NA,15047129954669.4,13844365195917.5,8275592638197
2011,"Hong Kong SAR, China",7071600,3742584,248513617677.287,3.422,13.5772126976964,35142.48793445429,3,1154.1924395878068,NA,NA,414910949073.788,369685331700.329,280433678600.894
2011,Japan,127833000,65813075,6233147172341.35,4.55,23.9777797284484,48760.07894942111,3,883.4316021684541,NA,NA,5265732324912.24,4629400479632.82,4219912322037.65
2011,"Korea, Rep.",49936638,25870939,1253289537500.81,2.992,11.396675739125,25097.595426844917,3,1046.225338730763,NA,NA,1938529075321.33,1625275455251.2,1307922658113.4
2011,"Macao SAR, China",571003,352684,36845888757.1886,2.56,7.29085486416008,64528.36282329269,3,1494.2764900919535,NA,NA,85289794670.8109,66543283702.9431,48431741654.2069
